Type	SV1	SV2	SV3	SV4	SV5	SV6
clustered_del:1-10Kb	0	6e-04	3e-04	0.0098	0.0019	0.0081
clustered_del:10-100Kb	0	1e-04	6e-04	0.0097	0.0012	0.0105
clustered_del:100Kb-1Mb	0	0	0.001	0.0206	4e-04	0.0332
clustered_del:1Mb-10Mb	0	0	0.002	0.0307	0	0.0747
clustered_del:>10Mb	0	0	0	0.0084	0	0.0713
clustered_tds:1-10Kb	8e-04	0	0.0018	0.0022	2e-04	0.0034
clustered_tds:10-100Kb	0.0014	0	0.0019	0.0059	7e-04	0.0083
clustered_tds:100Kb-1Mb	0.0057	0	8e-04	0.0128	0	0.0265
clustered_tds:1Mb-10Mb	0.001	0	0.0019	0.0291	0	0.0728
clustered_tds:>10Mb	0	0	0	0.0082	0	0.0699
clustered_inv:1-10Kb	1e-04	4e-04	9e-04	0.0271	5e-04	0.0176
clustered_inv:10-100Kb	0	1e-04	7e-04	0.0212	0.0015	0.0151
clustered_inv:100Kb-1Mb	0	0	0.0019	0.0328	0	0.0462
clustered_inv:1Mb-10Mb	0	0	0.004	0.0644	0	0.1498
clustered_inv:>10Mb	0	0	0	0.015	0	0.138
clustered_trans	0	0	0	0.5599	0	0
non-clustered_del:1-10Kb	0.001	0.0166	0.0186	0	0.3195	0.0269
non-clustered_del:10-100Kb	0.0098	0.0126	0.0013	0.0029	0.2182	0.022
non-clustered_del:100Kb-1Mb	0.0385	0.0504	0.0018	0.0026	0.0546	0.0171
non-clustered_del:1Mb-10Mb	0.0077	0.0603	0.0016	0.0097	0.0061	0.0242
non-clustered_del:>10Mb	2e-04	0.0645	0.0062	0.0017	0.0106	0.0175
non-clustered_tds:1-10Kb	0	0	0.5254	0	0.0113	0
non-clustered_tds:10-100Kb	0.1566	0	0.2226	0	0.115	0
non-clustered_tds:100Kb-1Mb	0.5378	0	0.0061	1e-04	0.0093	5e-04
non-clustered_tds:1Mb-10Mb	0.1683	0.0211	0.001	0.0141	0.0013	0.0126
non-clustered_tds:>10Mb	7e-04	0.0492	0.0063	0.0031	0.008	0.0126
non-clustered_inv:1-10Kb	0.0099	0.0457	0.0107	0.0111	0.0546	0.0135
non-clustered_inv:10-100Kb	0.0211	0.024	0.0032	0.0047	0.033	0.0132
non-clustered_inv:100Kb-1Mb	0.0225	0.0445	9e-04	0.0036	0.0028	0.0133
non-clustered_inv:1Mb-10Mb	0.0034	0.1012	0.0028	0.0129	1e-04	0.0392
non-clustered_inv:>10Mb	0.0079	0.1167	0.0102	0.0049	0.0197	0.0309
non-clustered_trans	0.0055	0.3919	0.1633	0.0711	0.1295	0.0112
